__typename,advice,cons,countHelpful,employer,employerResponses,featured,hasEmployerResponse,isCurrentJob,jobTitle,lengthOfEmployment,location,pros,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingDiversityAndInclusion,ratingOverall,ratingRecommendToFriend,ratingSeniorLeadership,ratingWorkLifeBalance,reviewDateTime,reviewId,summary
EmployerReviewRG,,But bad person have the power,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,,1,"{'id': 1147894, 'name': 'Bedford, NH', 'type': 'CITY'}",Nice people to work and socialize,,2.0,NO_OPINION,2.0,2,0,3,NEGATIVE,2.0,3.0,2019-01-09T03:59:37.563,24122987,Not that good
EmployerReviewRG,Less corruption,Ok but office to far,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Staff Software Engineer'},6,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Big company make us proud,POSITIVE,5.0,APPROVE,4.0,4,3,5,POSITIVE,3.0,4.0,2024-12-25T01:47:58.550,93887380,Garuda as national treasure
EmployerReviewRG,,"Change of management 
unfinished business and restart when new management comes on board",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Cargo Sales Manager'},9,"{'id': 3235921, 'name': 'Singapore', 'type': 'CITY'}","great travel benefits 
good medical coverage",,4.0,,4.0,3,3,4,NEGATIVE,3.0,4.0,2024-11-12T20:11:11.030,92794308,Working in a state owned airline
EmployerReviewRG,,Indonesian speaking. Sometimes no foreign. Low salary,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Airline Pilot'},0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Excellent ambience. Green crew. Very good.,POSITIVE,1.0,APPROVE,1.0,1,1,1,NEGATIVE,1.0,0.0,2024-11-10T19:30:02.127,92718667,Very good
EmployerReviewRG,,Heavy workload and insufficient number of human labor.,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Manager'},0,"{'id': 2699029, 'name': 'Cengkareng', 'type': 'CITY'}",Many other benefits from the company.,,0.0,,0.0,0,0,5,,0.0,0.0,2024-10-08T20:00:29.793,91750683,Manager in Garuda Indonesia
EmployerReviewRG,"Be honest. Stop the discrimination. Promote good people with good competence based on the performance instead of likeability/preference. Stop the lip service culture. Let go of all that 'handshaker's. Stop power abuse by top management. Re-organize the organization structure.
Pay more attention to all dedicated employees. Give bonus to the employees. If it is possible, don't give away the bonus to the 'external' inspectors from the ... just to get the approvals.","Discriminatory practices (those that touch the sky will get more attention). If you want to see the real condition of the workplace, look at the reviews of the ground staff.
There are also some reviews that were made-up just to enhance the rating on glassdoor.",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Middle Management'},20,,"A chance to learn about civil and commercial aviation but it depends on self-willingness, not the company culture. Good perks and benefits.",NEGATIVE,2.0,DISAPPROVE,4.0,2,1,2,NEGATIVE,2.0,4.0,2024-04-18T21:26:52.563,86468504,Cunning and Dishonesty
EmployerReviewRG,,Very low pay and no bonuses,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Airline Pilot'},2,"{'id': 2798307, 'name': 'Surabaya, East Java', 'type': 'CITY'}",Flexible hours and team like environment,POSITIVE,4.0,APPROVE,2.0,3,3,4,POSITIVE,3.0,3.0,2024-08-14T21:24:33.177,90106800,Not many benefits 
EmployerReviewRG,,middle management really need improvement,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Strategic Partnership Manager'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","High brand value, ticket benefit is always being the temptation",POSITIVE,3.0,APPROVE,3.0,3,4,4,POSITIVE,4.0,2.0,2024-07-14T20:58:57.040,89140901,Salary Range for Marketing in Airlines Industry
EmployerReviewRG,,Fast- Changing policy. Company performances could affect to career path for their employee,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'First Officer'},9,"{'id': 2768561, 'name': 'Tangerang', 'type': 'CITY'}","Attractive sallary, medical insurance and roaster for pilot. Seniority culture is implemented to this company, it’s particularly a good thing for pilots when it comes to career path. All of the operational aspects shall strictly agree with the rules and regulations. 
People development systems are really good.",POSITIVE,5.0,APPROVE,5.0,5,4,5,POSITIVE,4.0,5.0,2024-05-24T05:33:47.047,87604376,Great work-life balance
EmployerReviewRG,,Due to Covid 19 its was unstable,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Legal Secretary'},0,,Big opportunity working for Garuda Indonesia,,0.0,,0.0,0,0,5,,0.0,0.0,2024-07-14T21:58:13.593,89141752,Big company
EmployerReviewRG,,the office is in a remote location,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,,0,,it's good place to work,POSITIVE,4.0,APPROVE,4.0,3,4,5,POSITIVE,4.0,5.0,2024-07-07T05:17:50.960,88910756,Work-life balance
EmployerReviewRG,,Should give more benefits for employee,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Employee'},0,,Great hospitality in the company,,4.0,,3.0,4,4,4,,4.0,5.0,2024-07-08T00:10:44.483,88927500,Ok
EmployerReviewRG,,sometimes lack of diversity can get to you,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Inside Sales Manager'},0,,good leadership and culture is acceptable,,3.0,,4.0,4,3,4,,4.0,4.0,2024-07-03T09:30:47.887,88817079,Reputable company
EmployerReviewRG,run your company based on correct labor law,changes a lot contract without any agreement with employee,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Management'},6,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",good to start your career,,2.0,DISAPPROVE,2.0,2,3,1,NEGATIVE,2.0,3.0,2024-07-16T06:09:56.710,89189464,handling boarding
