__typename,advice,cons,countHelpful,employer,employerResponses,featured,hasEmployerResponse,isCurrentJob,jobTitle,lengthOfEmployment,location,pros,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingDiversityAndInclusion,ratingOverall,ratingRecommendToFriend,ratingSeniorLeadership,ratingWorkLifeBalance,reviewDateTime,reviewId,summary
EmployerReviewRG,,politics (this is regardless of any company you work for),2,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Strategy Manager'},6,,great flexibility &amp; hours great opportunity for growth work alongside smart team members cross functionally,NEUTRAL,0.0,APPROVE,3.0,4,4,5,POSITIVE,4.0,4.0,2023-03-06T14:40:58.313,74247039,Gojek Review
EmployerReviewRG,,NO downsides that I saw in my tenure at Gojek,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,,2,,good company culture and work environment,,3.0,,4.0,4,3,4,,4.0,4.0,2022-04-11T07:58:06.283,62600480,gojek review
EmployerReviewRG,,Different products teams work in silo. Collaboration can be difficult. Communication around salary growth is unclear.,1,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Graduate Student'},0,,"Amazing networking opportunities: if you find yourself in a great team with great managers who care about your personal &amp; professional development, you’re basically set for life because the work at Gojek will bring you closer with each other and hopefully they’d want to work with you again in the future.",POSITIVE,4.0,APPROVE,3.0,5,4,4,POSITIVE,3.0,4.0,2022-02-09T15:31:59.887,59406349,Your experience will really depend on the team you find yourself in
EmployerReviewRG,,Some take the lax culture and turn it into inefficiency,9,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,,0,,Fast paced environment matched with really intelligent people,POSITIVE,0.0,,0.0,0,0,5,,0.0,0.0,2018-09-17T18:24:51.447,22523716,Awesome place to work in
EmployerReviewRG,,so far no cons from me,0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Key Account Manager'},2,,"- Environment. The environment is top-notch. You can learn from all of the employees in here and they love to share. 
- Benefits. We can borrow the most comfortable chair that we used in the office for WFH, and also we got allowance for WFH.",POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,2021-07-14T23:53:26.360,49796086,A Great Place to Learn and Contribute
EmployerReviewRG,standardize compensation structure between old and new hires,"confusing career path, unclear compensation structure",1,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Data Scientist'},4,,"smart people, chill vibe but still deliver results",POSITIVE,3.0,APPROVE,3.0,5,5,4,POSITIVE,4.0,5.0,2021-11-16T14:13:07.487,55446206,good place for personal growth and good work-life balance
EmployerReviewRG,,- Lots of pressure due to challenging pace,1,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Head of Strategic Growth'},2,,"- Fun and motivated environment
- High learning curve",POSITIVE,5.0,APPROVE,4.0,5,5,5,POSITIVE,5.0,5.0,2022-03-01T21:47:29.103,60496983,Challenging and fast growing pace company
EmployerReviewRG,,"covid had a negative impact on business
fewer stock options",2,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,{'text': 'Product Engineer'},0,,"Startup culture
New technologies
Decent base salary
Team",,0.0,APPROVE,0.0,0,0,5,POSITIVE,0.0,0.0,2021-10-19T12:47:24.263,54206017,Awesome company
EmployerReviewRG,,"Too much target
Too much pressure
No mentorship or guidance",0,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,True,{'text': 'Satellite Operations Supervisor'},1,,"Good benefits, decent compensation, you work with very smart people, fast-paced.",NEUTRAL,4.0,NO_OPINION,4.0,3,4,4,POSITIVE,2.0,2.0,2021-04-25T03:01:34.100,46014924,Dynamic but uncertain
EmployerReviewRG,,back office is very week,1,"{'id': 1282114, 'shortName': 'Gojek', 'squareLogoUrl': 'https://media.glassdoor.com/sql/1282114/go-jek-squarelogo-1564047055986.png'}",[],False,False,False,,0,,a meaningful job for the Indonesian society,,0.0,,0.0,0,0,5,,0.0,0.0,2021-12-04T09:07:22.797,56223754,Senior Manager
